entry_index,exit_index,side,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,net_pnl,return_pct,bars_held,exit_reason,entry_confidence,market_regime
4573,4579,LONG,2025-05-09 19:20:00,2025-05-09 19:50:00,102994.19472,103119.936887,0.05984739299590409,7.52534088460584,2.5911835100883893,0.0012208665482733917,6,TAKE_PROFIT,0.8207353530839291,RANGING
4596,4597,LONG,2025-05-09 21:15:00,2025-05-09 21:20:00,102993.5946,102758.9280802656,0.08441912760628115,-19.810342874379977,-26.758122261363816,-0.0022784574190830046,1,STOP_LOSS,0.8410856777908836,RANGING
4631,4633,SHORT,2025-05-10 00:10:00,2025-05-10 00:20:00,103028.19024000001,102964.56946831064,0.1123227522548961,7.146060176730367,-2.1090093092772024,0.000617508388152481,2,TAKE_PROFIT,0.8300105328201871,RANGING
4648,4650,SHORT,2025-05-10 01:35:00,2025-05-10 01:45:00,103058.58416,102986.52843276614,0.10492498834313688,7.56044634006931,-1.0872660747132148,0.0006991724932102236,2,TAKE_PROFIT,0.8036826090887482,RANGING
4662,4663,SHORT,2025-05-10 02:45:00,2025-05-10 02:50:00,103125.8707,103115.61899999999,0.10202421297550002,1.0459216241617484,-7.370728643653129,9.94095849123142e-05,1,REGIME_EXIT,0.8653853765349696,RANGING
4697,4699,SHORT,2025-05-10 05:40:00,2025-05-10 05:50:00,103174.361,103139.32373999999,0.09870971329765624,3.458517889336612,-4.687547978690763,0.00033959270171793826,2,TAKE_PROFIT,0.9444881646269897,RANGING
4700,4701,SHORT,2025-05-10 05:55:00,2025-05-10 06:00:00,103196.45658000001,103389.03037430707,0.10454972258692188,-20.133536772313686,-28.772918912936476,-0.001866089211675297,1,STOP_LOSS,0.8884291415283345,RANGING
4779,4786,SHORT,2025-05-10 12:30:00,2025-05-10 13:05:00,103650.46576,103639.12367999999,0.07788231164651577,0.8833474092810158,-5.574329553056738,0.00010942623283795963,7,REGIME_EXIT,0.8353787896635958,RANGING
4801,4806,LONG,2025-05-10 14:20:00,2025-05-10 14:45:00,103441.88424,103534.78969884604,0.08974045147929574,8.337377821734954,0.907705755752942,0.0008981415944675581,5,TAKE_PROFIT,0.9097389369177352,RANGING
4813,4816,LONG,2025-05-10 15:20:00,2025-05-10 15:35:00,103400.67599999999,103192.53068800976,0.095548950127936,-19.888066034718065,-27.783971635759272,-0.002012997593847732,3,STOP_LOSS,0.8093633585122634,RANGING
4880,4881,SHORT,2025-05-10 20:55:00,2025-05-10 21:00:00,103255.44478,103211.848242,0.1188141336932862,5.179884894497919,-4.632608128064804,0.00042222023345016784,1,TAKE_PROFIT,0.8060372080633852,RANGING
4983,4990,LONG,2025-05-11 05:30:00,2025-05-11 06:05:00,103856.06706,103812.93326,0.06817264237406677,-2.9405451216342464,-8.603482918032373,-0.00041532287155719656,7,REGIME_EXIT,0.8735549194150054,RANGING
5078,5079,LONG,2025-05-11 13:25:00,2025-05-11 13:30:00,104444.08464,104162.96167540924,0.0684891984815136,-19.253886519567995,-24.968818279463342,-0.002691612124896677,1,STOP_LOSS,0.8174565594495118,RANGING
5171,5173,LONG,2025-05-11 21:10:00,2025-05-11 21:20:00,104040.40392,104183.91212205762,0.06640468697287599,9.529617235676684,3.998789024911069,0.0013793506815676234,2,TAKE_PROFIT,0.8923599424268147,RANGING
5205,5206,SHORT,2025-05-12 00:00:00,2025-05-12 00:05:00,104051.88546,104195.93502,0.05123927536469361,-7.380995071002927,-11.649182038071729,-0.0013844012471583278,1,REGIME_EXIT,0.8398375965233328,RANGING
5243,5245,LONG,2025-05-12 03:10:00,2025-05-12 03:20:00,103740.54396,103922.396363,0.04933852207821118,8.972328800391834,4.8740157740107986,0.0017529540144895505,2,TAKE_PROFIT,0.8165343617376731,RANGING
